IDENTIFIKA»NÕ »ÕSLO,DRUH POZEMNÕ KOMUNIKACE,»ÕSLO POZEMNÕ KOMUNIKACE,"den, mÏsÌc, rok",,Ëas ,DRUH NEHODY,DRUH SR¡éKY JEDOUCÕCH VOZIDEL,DRUH PEVN… PÿEK¡éKY,CHARAKTER NEHODY,ZAVINÃNÕ NEHODY,ALKOHOL U VINÕKA NEHODY PÿÕTOMEN,HLAVNÕ PÿÕ»INY NEHODY,usmrceno osob,tÏûce zranÏno osob,lehce zranÏno osob,CELKOV¡ HMOTN¡ äKODA,DRUH POVRCHU VOZOVKY,STAV POVRCHU VOZOVKY V DOBÃ NEHODY,STAV KOMUNIKACE,POVÃTRNOSTNÕ PODMÕNKY V DOBÃ NEHODY,VIDITELNOST,ROZHLEDOV… POMÃRY,DÃLENÕ KOMUNIKACE,SITUOV¡NÕ NEHODY NA KOMUNIKACI,ÿÕZENÕ PROVOZU V DOBÃ NEHODY,MÕSTNÕ ⁄PRAVA PÿEDNOSTI V JÕZDÃ,SPECIFICK¡ MÕSTA A OBJEKTY V MÕSTÃ NEHODY,SMÃROV… POMÃRY,PO»ET Z⁄»ASTNÃN›CH VOZIDEL,MÕSTO DOPRAVNÕ NEHODY,DRUH KÿIéUJÕCÕ KOMUNIKACE,DRUH VOZIDLA,V›ROBNÕ ZNA»KA MOTOROV…HO VOZIDLA,ROK V›ROBY VOZIDLA,CHARAKTERISTIKA VOZIDLA ,SMYK,VOZIDLO PO NEHODÃ,"⁄NIK PROVOZNÕCH, PÿEPRAVOVAN›CH HMOT",ZPŸSOB VYPROäTÃNÕ OSOB Z VOZIDLA,SMÃR JÕZDY NEBO POSTAVENÕ VOZIDLA,äKODA NA VOZIDLE,KATEGORIE ÿIDI»E,STAV ÿIDI»E,VNÃJäÕ OVLIVNÃNÕ ÿIDI»E,nan.1,nan.2,nan.3,nan.4,nan.5,nan.6,nan.7,nan.8,nan.9,nan.10,nan.11,nan.12,nan.13,nan.14,nan.15,nan.16,nan.17,nan.18,LOKALITA NEHODY
2100180006,5,,2018-12-31,1,2560,2,0,0,2,1,0,508,0,0,0,500,2,1,1,1,1,1,1,0,0,0,10,1,3,0,,17,,XX,,,,,,,0,,,,,,"-740232,779","-1045024,154","-740232,815","-1045021,257",PRAHA10Vröovice,RUSK¡,,sledovan·komunikace,,,,,,,,,1
2100190001,4,,2019-01-01,2,35,1,4,0,2,1,2,503,0,0,0,250,1,3,1,1,4,1,0,1,2,0,0,4,2,19,,3,39.0,15,12.0,0.0,1.0,0.0,1.0,75.0,150,3.0,1.0,1.0,,,"-739292,161","-1044517,377","-739292,180","-1044517,804",PRAHA3Vinohrady,VINOHRADSK¡,,uzel,,,,,,,,,1
2100190002,5,,2019-01-01,2,230,4,0,0,1,3,0,100,0,1,0,200,2,1,1,1,4,1,5,7,2,0,0,3,1,0,,10,0.0,,5.0,0.0,1.0,0.0,1.0,1.0,200,8.0,1.0,1.0,,,"-738457,590","-1045400,585","-738459,763","-1045389,710",PRAHA10,VOLäIN¡CH,,sledovan·komunikace,,,,,,,,,1
2100190003,4,,2019-01-01,2,240,3,0,6,2,1,9,511,0,0,0,810,2,1,1,1,4,1,0,1,2,0,0,4,1,15,,3,47.0,15,3.0,0.0,1.0,0.0,1.0,25.0,800,2.0,5.0,0.0,,,"-741273,247","-1049730,456","-741272,54","-1049730,314",PRAHA4-KR»,VÌdeÚsk·,,mÌstnÌkomunikace,,1685507.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,487856.0,GN_V0.1UIR-ADR_410,1
2100190004,6,,2019-01-01,2,260,3,0,9,2,1,0,516,0,0,0,100,2,3,1,1,4,1,0,1,3,3,0,5,1,10,,3,2.0,02,1.0,0.0,4.0,0.0,1.0,5.0,100,9.0,,,,,"-751013,997","-1046439,576","-751013,989","-1046439,857",PRAHA5,Klukovick·,,mÌstnÌkomunikace,,713690.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,501417.0,GN_V0.1UIR-ADR_410,1
2100190005,5,,2019-01-01,2,300,2,0,0,2,1,8,511,0,0,0,2000,2,1,1,1,4,1,2,1,0,0,0,1,2,0,,3,39.0,14,3.0,0.0,1.0,0.0,1.0,1.0,1200,0.0,5.0,0.0,,,"-741765,388","-1044249,930","-741767,228","-1044254,210",PRAHA2Vinohrady,VINOHRADSK¡,,sledovan·komunikace,,,,,,,,,1
2100190006,5,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,500,2,1,1,1,1,1,2,1,0,0,0,1,3,0,,17,,XX,,,,,,,0,,,,,,"-740232,779","-1045024,154","-740232,815","-1045021,257",PRAHA10Vröovice,RUSK¡,,sledovan·komunikace,,,,,,,,,1
2100190007,6,,2019-01-01,2,520,1,2,0,2,1,0,403,0,0,0,400,2,1,1,1,4,1,0,1,3,3,1,4,2,10,,17,,XX,,,,,,,0,,,,,,"-742822,441","-1044548,801","-742822,395","-1044548,36",PRAHA2-NOV…MÃSTO,,,mÌstnÌkomunikace,,2778833.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,477851.0,GN_V0.1UIR-ADR_410,1
2100190008,6,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,800,2,1,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-743040,607","-1043383,216","-743041,458","-1043384,969",Praha1,Sko¯epka,,mÌstnÌkomunikace,,712400.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,469181.0,GN_V0.1UIR-ADR_410,1
2100190009,6,,2019-01-01,2,660,3,0,9,2,1,0,516,0,0,0,200,2,1,1,1,4,1,1,1,0,0,0,1,1,0,,3,47.0,97,1.0,0.0,4.0,0.0,1.0,5.0,100,9.0,,,,,"-728291,572","-1042197,802","-728293,511","-1042187,143",PRAHA9,Kom·rovsk·,,mÌstnÌkomunikace,,1681024.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,494330.0,GN_V0.1UIR-ADR_410,1
2100190010,6,,2019-01-01,2,700,2,0,0,2,1,2,509,0,0,0,350,2,1,1,1,4,1,1,1,0,0,0,1,2,0,,3,39.0,10,12.0,0.0,1.0,0.0,1.0,5.0,200,2.0,1.0,1.0,,,"-742581,026","-1042889,579","-742582,8","-1042887,214",PRAHA4-Chodov,Kaplanova,,mÌstnÌkomunikace,,1656035.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,472778.0,GN_V0.1UIR-ADR_410,1
2100190011,6,,2019-01-01,2,750,3,0,3,2,1,2,508,0,0,0,200,2,1,1,1,2,1,1,1,0,0,0,1,1,0,,3,39.0,09,1.0,0.0,1.0,0.0,1.0,5.0,200,2.0,2.0,1.0,,,"-743078,908","-1043347,082","-743079,032","-1043347,593",PRAHA7,Nov·Povltavsk·,,mÌstnÌkomunikace,,275840.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,443476.0,GN_V0.1UIR-ADR_410,1
2100190012,8,,2019-01-01,2,2560,3,0,9,2,1,0,516,0,0,0,200,2,1,1,1,1,1,1,1,0,0,10,1,1,0,,17,,XX,,,,,,,0,,,,,,"-729247,054","-1042328,095","-729249,219","-1042325,729",PRAHA5-RADOTÕN,Vindyöova,,mÌstnÌkomunikace,,270829.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,493988.0,GN_V0.1UIR-ADR_410,1
2100190013,8,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,800,1,1,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-736803,385","-1044352,189","-736803,741","-1044348,335",PRAHA2-Vinohrady,BÏlehradsk·,,mÌstnÌkomunikace,,1683427.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,464368.0,GN_V0.1UIR-ADR_410,1
2100190014,6,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,100,1,1,1,1,1,1,1,2,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-740328,307","-1044404,233","-740329,111","-1044404,327",PRAHA3éiûkov,BARANOVA,,uzel,,,,,,,,,1
2100190015,8,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,200,2,1,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-748840,146","-1043734,978","-748840,559","-1043733,416",PRAHA5-MOTOL,V⁄VALU,,mÌstnÌkomunikace,,1274201.0,,,Pomal˝,554782.0,501441.0,GN_V0.1UIR-ADR_410,1
